,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'Tetracycline', 'Oxacillin', 'Penicillin'})",frozenset({'Erythromycin'}),0.11570247933884298,0.45454545454545453,0.1046831955922865,0.9047619047619048,1.9904761904761905,0.05209115952917606,5.7272727272727275,0.5627151992129857
6,"frozenset({'Tetracycline', 'Amikacin'})",frozenset({'Gentamicin'}),0.23140495867768596,0.418732782369146,0.2231404958677686,0.9642857142857143,2.3028665413533833,0.12624365366664392,16.275482093663918,0.7360945174565247
8,"frozenset({'Tetracycline', 'Amikacin', 'Decade_2010-2020'})",frozenset({'Gentamicin'}),0.1790633608815427,0.418732782369146,0.17355371900826447,0.9692307692307692,2.3146761133603238,0.09857401968596559,18.891184573002754,0.6918610844785341
11,"frozenset({'Tetracycline', 'Amikacin', 'Decade_2010-2020', 'Gram_ID_Positive'})",frozenset({'Gentamicin'}),0.16804407713498623,0.418732782369146,0.162534435261708,0.9672131147540983,2.309857635893011,0.09216887128231982,17.728650137741027,0.6816140981030419
12,"frozenset({'Tetracycline', 'Amikacin', 'Decade_2010-2020'})","frozenset({'Gram_ID_Positive', 'Gentamicin'})",0.1790633608815427,0.3581267217630854,0.162534435261708,0.9076923076923077,2.5345562130177512,0.0984070608413208,6.9536271808999075,0.7375156409964737
13,"frozenset({'Tetracycline', 'Amikacin', 'Gram_ID_Positive'})",frozenset({'Gentamicin'}),0.22038567493112948,0.418732782369146,0.21212121212121213,0.9625,2.2986019736842107,0.11983850526299812,15.500459136822782,0.7246569684732228
15,"frozenset({'Tetracycline', 'Amikacin'})","frozenset({'Gram_ID_Positive', 'Gentamicin'})",0.23140495867768596,0.3581267217630854,0.21212121212121213,0.9166666666666666,2.5596153846153844,0.1292489128702502,7.702479338842971,0.7927663734115347
16,"frozenset({'Amikacin', 'Erythromycin'})",frozenset({'Gentamicin'}),0.12672176308539945,0.418732782369146,0.12672176308539945,1.0,2.388157894736842,0.0736592066419264,inf,0.6656151419558359
17,"frozenset({'Amikacin', 'Erythromycin', 'Gram_ID_Positive'})",frozenset({'Gentamicin'}),0.11294765840220386,0.418732782369146,0.11294765840220386,1.0,2.388157894736842,0.06565277113736918,inf,0.65527950310559
18,"frozenset({'Amikacin', 'Oxacillin'})",frozenset({'Gentamicin'}),0.10192837465564739,0.418732782369146,0.10192837465564739,1.0,2.388157894736842,0.05924762273372341,inf,0.6472392638036809
23,"frozenset({'Sex_F', 'Decade_2010-2020', 'Gram_ID_Positive', 'Gentamicin'})",frozenset({'Amikacin'}),0.11294765840220386,0.349862258953168,0.1046831955922865,0.926829268292683,2.6491261763011336,0.06516707268022069,8.88521579430671,0.7017816279830009
24,"frozenset({'Tetracycline', 'Amikacin', 'Sex_F'})",frozenset({'Gentamicin'}),0.11019283746556474,0.418732782369146,0.10743801652892562,0.975,2.328453947368421,0.06129666309981862,23.25068870523414,0.6411844089862665
25,"frozenset({'Tetracycline', 'Sex_F', 'Gentamicin'})",frozenset({'Amikacin'}),0.1184573002754821,0.349862258953168,0.10743801652892562,0.9069767441860465,2.5923823475553927,0.06599427786505171,6.988980716253439,0.6967948717948718
28,"frozenset({'Tetracycline', 'Sex_F', 'Gram_ID_Positive', 'Gentamicin'})",frozenset({'Amikacin'}),0.11019283746556474,0.349862258953168,0.1046831955922865,0.95,2.7153543307086614,0.06613088055612473,13.002754820936628,0.7099560045624899
29,"frozenset({'Tetracycline', 'Amikacin', 'Sex_F', 'Gram_ID_Positive'})",frozenset({'Gentamicin'}),0.10743801652892562,0.418732782369146,0.1046831955922865,0.9743589743589743,2.3269230769230766,0.05969537599890718,22.669421487603287,0.638888888888889
30,"frozenset({'Tetracycline', 'Amikacin', 'Sex_F'})","frozenset({'Gram_ID_Positive', 'Gentamicin'})",0.11019283746556474,0.3581267217630854,0.1046831955922865,0.95,2.6526923076923077,0.0652201959489713,12.83746556473828,0.7001792406713377
31,frozenset({'Gram_ID_Negative'}),frozenset({'Penicillin'}),0.33884297520661155,0.4793388429752066,0.3085399449035813,0.910569105691057,1.8996355480796188,0.14611934521776748,5.821938392186331,0.716294642857143
